,Date,Account,Income
0,1/7/2022,CHK,903.14
1,1/14/2022,CHK,85.25
2,1/14/2022,CHK,1731.21
3,1/28/2022,CHK,2095.64
4,2/7/2022,CHK,7000.00
5,2/15/2022,CHK,2031.07
6,2/28/2022,CHK,2014.49
7,3/15/2022,CHK,2014.49
8,3/28/2022,CHK,2044.09
9,4/15/2022,CHK,2081.77
10,4/28/2022,CHK,3068.32
11,5/13/2022,CHK,2076.93
12,5/27/2022,CHK,2873.82
13,6/15/2022,CHK,2076.93
14,6/28/2022,CHK,2134.97
15,7/15/2022,CHK,2076.30
16,7/28/2022,CHK,4472.77
17,8/15/2022,CHK,2076.93
18,8/26/2022,CHK,3163.93
19,9/7/2022,CHK,79.46
20,9/15/2022,CHK,2076.93
21,9/27/2022,CHK,13.37
22,9/28/2022,CHK,2151.81
23,10/14/2022,CHK,2076.93
24,10/28/2022,CHK,2656.15
25,11/1/2022,CHK,111.29
26,11/15/2022,CHK,2076.93
27,11/28/2022,CHK,3152.63
28,12/15/2022,CHK,2144.21
29,12/22/2022,CHK,2345.45
